company,title,salary,location,submit date,start date
FORD MOTOR COMPANY,TECHNICAL PROJECT LEADER â TRAILERING APPLICATIONS,"118,020","PALO ALTO, CA",11/19/2021,11/29/2021
FORD MOTOR COMPANY,TECHNICAL PROJECT MANAGER,"100,942","CANTON, MI",09/08/2021,03/06/2022
FORD MOTOR COMPANY,TECHNICAL PROJECT MANAGER,"115,752","DEARBORN, MI",06/07/2024,06/17/2024
FORD MOTOR COMPANY,TECHNICAL PROJECT MANAGER,"115,752","DEARBORN, MI",03/06/2024,03/08/2024
FORD MOTOR COMPANY,TECHNICAL PROJECT MANAGER,"115,752","DEARBORN, MI",03/04/2024,03/04/2024
FORD MOTOR COMPANY,TECHNICAL SOFTWARE ENGINEER,"117,166","DEARBORN, MI",09/19/2022,10/24/2022
FORD MOTOR COMPANY,TECHNICAL SPECIALIST SOFTWARE ARCHITECTURE,"100,298","DEARBORN, MI",10/02/2018,10/08/2018
FORD MOTOR COMPANY,TECHNICAL SPECIALIST â HV BATTERY CONTROL ALGORITHMS,"122,640","ALLEN PARK, MI",05/14/2024,05/20/2024
FORD MOTOR COMPANY,"TECHNICAL SPECIALIST, SOFTWARE ARCHITECTURE","114,000","CANTON, MI",05/17/2021,10/01/2021
FORD MOTOR COMPANY,"TECHNICAL SPECIALIST, SYSTEM ENGINEERING","117,166","DEARBORN, MI",08/19/2022,08/19/2022
FORD MOTOR COMPANY,"TECHNICAL SPECIALIST, VEHICLE ENERGY MANAGEMENT ENGINEERING","110,594","ALLEN PARK, MI",10/21/2019,02/27/2020
FORD MOTOR COMPANY,TECHNICAL STRATEGY LEAD,"117,960","NORTHVILLE, MI",06/02/2022,06/02/2022
FORD MOTOR COMPANY,TECHNOLOGY PRODUCT OWNER,"149,679","DEARBORN, MI",06/22/2023,06/30/2023
FORD MOTOR COMPANY,TECHNOLOGY STRATEGY AND PLANNING ANALYST,"71,760","DEARBORN, MI",10/10/2019,10/21/2019
FORD MOTOR COMPANY,TECHNOLOGY STRATEGY LEADER,"82,320","DEARBORN, MI",04/25/2019,05/06/2019
FORD MOTOR COMPANY,TECHNOLOGY STRATEGY LEADER,"86,400","DEARBORN, MI",01/10/2022,05/06/2022
FORD MOTOR COMPANY,TELEMATICS CORE SYSTEMS ENGINEER,"80,725","ALLEN PARK, MI",10/02/2018,10/02/2018
FORD MOTOR COMPANY,TELEMATICS SYSTEMS ENGINEER,"82,792","FARMINGTON, MI",11/01/2021,11/22/2021
FORD MOTOR CREDIT COMPANY LLC,TEST DATA MANAGEMENT SPECIALIST,"82,380","DEARBORN, MI",05/24/2024,06/03/2024
FORD MOTOR COMPANY,TEST ENGINEER,"71,760","TROY, MI",02/22/2021,04/06/2021
FORD MOTOR COMPANY,TEST ENGINEER,"82,638","DEARBORN, MI",09/11/2023,09/11/2023
FORD MOTOR COMPANY,TEST ENGINEER,"95,430","ROYAL OAK, MI",06/24/2021,08/09/2021
FORD MOTOR COMPANY,TEST ENGINEER,"99,819","DEARBORN, MI",03/12/2024,08/09/2024
FORD MOTOR COMPANY,TEST LEAD & DATA SPECIALIST,"94,266","DEARBORN, MI",02/09/2023,02/15/2023
FORD MOTOR COMPANY,TEST LEAD & DATA SPECIALIST,"100,942","DEARBORN, MI",04/20/2022,05/16/2022
FORD MOTOR COMPANY,TEST VERIFICATION ANALYST,"100,942","DEARBORN, MI",05/13/2022,06/20/2022
FORD MOTOR COMPANY,THERMAL SYSTEM CAE ENGINEER,"112,507","WEST BLOOMFIELD, MI",08/23/2021,09/27/2021
FORD MOTOR COMPANY,THERMAL SYSTEM ENGINEERING CAE ENGINEER,"112,507","FARMINGTON, MI",02/18/2022,02/28/2022
FORD MOTOR COMPANY,THERMAL SYSTEMS CALIBRATION ENGINEER,"91,620","DEARBORN, MI",06/29/2023,07/10/2023
FORD MOTOR COMPANY,THERMAL SYSTEMS ENERGY MANAGEMENT DEVELOPMENT ENGINEER,"86,400","ALLEN PARK, MI",04/06/2022,10/01/2022
FORD MOTOR COMPANY,THERMAL SYSTEMS ENERGY MANAGEMENT DEVELOPMENT ENGINEER,"98,520","ALLEN PARK, MI",09/04/2020,09/21/2020
FORD MOTOR COMPANY,THERMAL SYSTEMS ENGINEER,"98,426","DEARBORN, MI",01/16/2024,01/22/2024
FORD MOTOR COMPANY,THERMAL SYSTEMS INTEGRATION ENGINEER,"164,299","PALO ALTO, CA",10/05/2023,10/11/2023
FORD MOTOR COMPANY,TOOLING ENGINEER,"105,206","LIVONIA, MI",09/08/2021,09/27/2021
FORD MOTOR COMPANY,TOOLING ENGINEER,"112,070","DEARBORN, MI",09/21/2023,09/25/2023
FORD MOTOR COMPANY,TOOLING ENGINEER,"112,507","LIVONIA, MI",08/19/2021,09/27/2021
FORD MOTOR COMPANY,TOOLING ENGINEER,"112,570","DEARBORN, MI",05/31/2024,09/27/2024
FORD MOTOR COMPANY,TOPOLOGY OPTIMIZATION AND ADDITIVE MFG. RESEARCH ENGINEER,"95,867","DEARBORN, MI",03/13/2020,09/10/2020
FORD MOTOR COMPANY,TRANSMISSION & DRIVELINE FUNCTIONAL SAFETY ENGINEER,"98,760","DEARBORN, MI",04/15/2020,08/30/2020
FORD MOTOR COMPANY,TRANSMISSION CALIBRATION CONTROLS ENGINEER,"110,594","LIVONIA, MI",08/29/2019,10/14/2019
FORD MOTOR COMPANY,TRANSMISSION CALIBRATION CONTROLS ENGINEER,"110,594","LIVONIA, MI",09/04/2019,09/16/2019
FORD MOTOR COMPANY,TRANSMISSION CALIBRATION ENGINEER,"81,162","DEARBORN, MI",02/27/2020,04/13/2020
FORD MOTOR COMPANY,TRANSMISSION CALIBRATION ENGINEER,"112,507","LIVONIA, MI",03/23/2022,09/06/2022
FORD MOTOR COMPANY,TRANSMISSION DRIVELINE FUNCTIONAL SAFETY SOFTWARE ENGINEER,"86,400","TROY, MI",01/25/2022,01/31/2022
FORD MOTOR COMPANY,TRANSMISSION SYSTEM AND MODELING ENGINEER,"94,526","DEARBORN, MI",07/10/2020,07/16/2020
FORD MOTOR COMPANY,TRANSPORTATION MODELING ENGINEER SHARED MOBILITY & TRAFFIC,"78,120","DEARBORN, MI",03/09/2019,08/15/2019
FORD MOTOR COMPANY,TRANSPORTATION MODELING ENGINEER SHARED MOBILITY & TRAFFIC,"122,004","DEARBORN, MI",03/10/2022,08/15/2022
FORD MOTOR COMPANY,TRAVEL DEMAND MODELING RESEARCH SPECIALIST,"78,120","DEARBORN, MI",03/09/2019,08/15/2019
FORD MOTOR COMPANY,U.S. SALES DATA SCIENTIST,"71,760","DEARBORN, MI",05/27/2021,07/12/2021
FORD MOTOR COMPANY,U.S. SALES DATA SCIENTIST,"71,760","DEARBORN, MI",06/01/2021,06/12/2021
